hsa:152,D00789
hsa:148,D07775
hsa:1813,D08430
hsa:3350,D05523
hsa:1813,D02248
hsa:148,D04532
hsa:152,D01347
hsa:153,D05206
hsa:1132,D03859
hsa:1131,D00147
hsa:146,D03648
hsa:147,D06234
hsa:154,D10546
hsa:1813,D10364
hsa:4986,D01340
hsa:2550,D00058
hsa:1131,D04034
hsa:1812,D07870
hsa:3350,D02357
hsa:150,D05648
hsa:2740,D04121
hsa:3351,D02826
hsa:3358,D02688
hsa:155,D07496
hsa:4985,D05312
hsa:3360,D06056
hsa:3362,D10099
hsa:1128,D00779
hsa:155,D04018
hsa:4986,D01500
hsa:148,D00819
hsa:148,D07550
hsa:1129,D00715
hsa:1132,D06331
hsa:4988,D10478
hsa:151,D09842
hsa:153,D01454
hsa:1129,D00716
hsa:154,D08474
hsa:148,D08220
hsa:1129,D07821
hsa:148,D00485
hsa:3358,D00283
hsa:10800,D02850
hsa:1132,D04479
hsa:3356,D00819
hsa:1133,D03088
hsa:1128,D00481
hsa:1813,D01448
hsa:151,D00076
hsa:146,D02268
hsa:1813,D00795
hsa:3356,D06343
hsa:3269,D05660
hsa:1133,D01451
hsa:3360,D09693
hsa:1129,D08923
hsa:4988,D08639
hsa:1132,D07301
hsa:153,D08572
hsa:3358,D05015
hsa:4988,D08047
hsa:554,D00366
hsa:3269,D00671
hsa:1133,D07477
hsa:1129,D01871
hsa:147,D03415
hsa:151,D01163
hsa:154,D03415
hsa:154,D05902
hsa:1129,D07099
hsa:151,D08284
hsa:6755,D04666
hsa:1241,D06140
hsa:1133,D08389
hsa:1131,D01955
hsa:155,D09535
hsa:846,D03505
hsa:846,D03504
hsa:146,D01017
hsa:3352,D02211
hsa:1814,D07870
hsa:2798,D00573
hsa:150,D00509
hsa:3356,D10516
hsa:1909,D07077
hsa:1813,D00793
hsa:3269,D01336
hsa:4988,D10740
hsa:1133,D08425
hsa:147,D00997
hsa:150,D09794
hsa:1129,D00789
hsa:155,D06176
hsa:153,D04889
hsa:3269,D07803
hsa:3356,D03506
hsa:3269,D08041
hsa:10800,D06659
hsa:1813,D01176
hsa:3358,D00820
hsa:1128,D03274
hsa:1132,D01175
hsa:154,D02404
hsa:1813,D00502
hsa:1133,D00524
hsa:1129,D06175
hsa:148,D08449
hsa:1133,D00721
hsa:3356,D00563
hsa:1133,D03859
hsa:3360,D07700
hsa:147,D01691
hsa:154,D01691
hsa:4988,D07122
hsa:154,D08572
hsa:4988,D04924
hsa:1909,D03953
hsa:1813,D07217
hsa:1132,D10978
hsa:1813,D02671
hsa:3062,D11269
hsa:3350,D07906
hsa:135,D09717
hsa:1128,D07303
hsa:1129,D00465
hsa:152,D01224
hsa:153,D03759
hsa:1812,D02775
hsa:3269,D07404
hsa:3061,D09964
hsa:136,D01771
hsa:4988,D10162
hsa:1131,D07821
hsa:6869,D10742
hsa:3269,D03704
hsa:3351,D00451
hsa:1129,D04116
hsa:4985,D02238
hsa:134,D00045
hsa:147,D08192
hsa:1132,D05418
hsa:3351,D03983
hsa:147,D01021
hsa:1815,D03892
hsa:4986,D07132
hsa:1132,D04868
hsa:1131,D01077
hsa:150,D00507
hsa:3356,D08397
hsa:147,D05395
hsa:3357,D07701
hsa:1133,D08384
hsa:1129,D04087
hsa:1813,D09876
hsa:6754,D11192
hsa:147,D08220
hsa:5724,D07407
hsa:3269,D04980
hsa:148,D06234
hsa:1131,D07511
hsa:1128,D05779
hsa:151,D08216
hsa:1815,D01548
hsa:3356,D00820
hsa:3269,D01902
hsa:3358,D01902
hsa:150,D03672
hsa:153,D02834
hsa:1813,D01321
hsa:186,D02939
hsa:151,D04124
hsa:1128,D02535
hsa:148,D00255
hsa:4158,D02105
hsa:148,D08662
hsa:146,D01347
hsa:1813,D01485
hsa:3350,D10355
hsa:1129,D10545
hsa:1813,D01520
hsa:3352,D07997
hsa:1131,D02535
hsa:155,D02150
hsa:1129,D01463
hsa:1133,D00719
hsa:155,D01906
hsa:1133,D01201
hsa:3356,D07700
hsa:1129,D06015
hsa:150,D08449
hsa:153,D02081
hsa:4986,D05462
hsa:3358,D00789
hsa:153,D00513
hsa:64805,D03361
hsa:2798,D00988
hsa:146,D08271
hsa:3269,D02234
hsa:4985,D02095
hsa:5739,D08065
hsa:1129,D03274
hsa:1813,D00788
hsa:146,D08206
hsa:1129,D03858
hsa:152,D04765
hsa:150,D08614
hsa:3269,D01324
hsa:3269,D01782
hsa:1132,D08157
hsa:1131,D10180
hsa:3269,D00494
hsa:151,D07931
hsa:154,D04888
hsa:148,D01830
hsa:6753,D05812
hsa:148,D00636
hsa:185,D00357
hsa:1129,D08418
hsa:1133,D07513
hsa:1813,D00789
hsa:6869,D04122
